,title,url,rating,review_count,price
0,"Anker Soundcore Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 40H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0747095382MMKDOLO3CO&url=%2FSoundcore-Cancelling-Headphones-Wireless-Bluetooth%2Fdp%2FB07NM3RSRQ%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1594136411%26sr%3D8-1-spons%26psc%3D1&qualifier=1594136411&id=8086478799120383&widgetName=sp_atf,4.4 out of 5 stars,"4,233",$59.99
1,"Vogek On Ear Headphones with Mic, Lightweight Portable Fold-Flat Stereo Bass Headphones with 1.5M Tangle Free Cord and Microphone-Black",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A035250319WRT3UIRQJSU&url=%2FHeadphones-Lightweight-Portable-Fold-Flat-Microphone-Black%2Fdp%2FB07MCCJ6VY%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1594136411%26sr%3D8-2-spons%26psc%3D1&qualifier=1594136411&id=8086478799120383&widgetName=sp_atf,4.5 out of 5 stars,"6,523",$12.99
2,Sony MDRZX110/BLK  ZX Series Stereo Headphones (Black),https://www.amazon.com/Sony-MDRZX110-BLK-Stereo-Headphones/dp/B00NJ2M33I/ref=sr_1_3?dchild=1&keywords=Headphones&qid=1594136411&sr=8-3,4.3 out of 5 stars,"16,585",
3,"COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Microphone Deep Bass Wireless Headphones Over Ear, Comfortable Protein Earpads, 30 Hours Playtime for Travel/Work, Black",https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Comfortable/dp/B019U00D7K/ref=sr_1_4?dchild=1&keywords=Headphones&qid=1594136411&sr=8-4,4.4 out of 5 stars,"30,895",$69.99
4,"3 Packs Earbud Headphones with Remote & Microphone, SourceTon In Ear Earphone Stereo Sound Noise Isolating Tangle Free for iOS and Android Smartphones, Laptops, Gaming, Fits All 3.5mm Interface Device",https://www.amazon.com/Headphones-Microphone-SourceTon-Isolating-Smartphones/dp/B077ZYLMZV/ref=sr_1_5?dchild=1&keywords=Headphones&qid=1594136411&sr=8-5,4.1 out of 5 stars,"3,043",$9.99
5,Kids Headphones - noot products K11 Foldable Stereo Tangle-Free 3.5mm Jack Wired Cord On-Ear Headset for Children/Teens/Boys/Girls/Smartphones/School/Kindle/Airplane Travel/Plane/Tablet (Navy/Teal),https://www.amazon.com/Kids-Headphones-products-Tangle-Free-Ear/dp/B0746RBK2M/ref=sr_1_6?dchild=1&keywords=Headphones&qid=1594136411&sr=8-6,4.6 out of 5 stars,"6,017",$14.99
6,"LORELEI X6 Over-Ear Headphones with Microphone, Lightweight Foldable & Portable Stereo Bass Headphones with 1.45M No-Tangle, Wired Headphones for Smartphone Tablet MP3 / 4 (Space Black)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03333881O1NWN402UNJ2&url=%2FLORELEI-X6-Headphones-Microphone-Lightweight%2Fdp%2FB083P1HG9S%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1594136411%26sr%3D8-7-spons%26psc%3D1&qualifier=1594136411&id=8086478799120383&widgetName=sp_mtf,4.3 out of 5 stars,124,$16.99
7,"Mpow 059 Bluetooth Headphones Over Ear, Hi-Fi Stereo Wireless Headset, Foldable, Soft Memory-Protein Earmuffs, w/Built-in Mic Wired Mode, for   Online Class, Home Office, PC/Cell Phones/TV",https://www.amazon.com/Mpow-Bluetooth-Headphones-Wireless-Memory-Protein/dp/B01NAJGGA2/ref=sr_1_8?dchild=1&keywords=Headphones&qid=1594136411&sr=8-8,4.4 out of 5 stars,"34,743",$30.99
8,"TaoTronics Hybrid Active Noise Cancelling Headphones Bluetooth Headphones Over Ear with 35H Playtime, Wireless Headphones Soft Protein Earpads Built-in Mic for Travel, Home Office Black",https://www.amazon.com/TaoTronics-Cancelling-Headphones-Bluetooth-Playtime/dp/B084MKNGSQ/ref=sr_1_9?dchild=1&keywords=Headphones&qid=1594136411&sr=8-9,4.8 out of 5 stars,672,$69.98
9,Sony MDR7506 Professional Large Diaphragm Headphone,https://www.amazon.com/Sony-MDR7506-Professional-Diaphragm-Headphone/dp/B000AJIF4E/ref=sr_1_10?dchild=1&keywords=Headphones&qid=1594136411&sr=8-10,4.7 out of 5 stars,"8,329",$94.99
10,"PeohZarr On-Ear Headphones with Microphone, Lightweight Folding Stereo Bass Headphones with 1.5M Tangle Free Cord, Portable Wired Headphones for Smartphone Tablet Laptop Computer MP3/4",https://www.amazon.com/PeohZarr-Headphones-Microphone-Lightweight-Smartphone/dp/B07SHH37M6/ref=sr_1_11?dchild=1&keywords=Headphones&qid=1594136411&sr=8-11,4.7 out of 5 stars,"5,974",$15.99
11,"Bluetooth Headphones,Tuinyo Wireless Headphones Over Ear with Microphone, Foldable & Lightweight Stereo Wireless Headset for Travel Work TV PC Cellphone- Rose Gold",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05180921HQ8Z36VOHROK&url=%2Fdp%2FB07ZBJPYRK%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1594136411%26sr%3D8-12-spons%26psc%3D1&qualifier=1594136411&id=8086478799120383&widgetName=sp_mtf,4.3 out of 5 stars,698,$23.99
12,Sennheiser HD280PRO Headphone (new model),https://www.amazon.com/Sennheiser-HD280PRO-Headphone-new-model/dp/B00IT0IHOY/ref=sr_1_13?dchild=1&keywords=Headphones&qid=1594136411&sr=8-13,4.3 out of 5 stars,"4,649",$79.95
13,"Anker Soundcore Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 40H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office",https://www.amazon.com/Soundcore-Cancelling-Headphones-Wireless-Bluetooth/dp/B07NM3RSRQ/ref=sr_1_14?dchild=1&keywords=Headphones&qid=1594136411&sr=8-14,4.4 out of 5 stars,"4,233",$59.99
14,"Bose Noise Cancelling Wireless Bluetooth Headphones 700, with Alexa Voice Control, Black",https://www.amazon.com/Bose-Cancelling-Wireless-Bluetooth-Headphones/dp/B07Q9MJKBV/ref=sr_1_15?dchild=1&keywords=Headphones&qid=1594136411&sr=8-15,4.2 out of 5 stars,"5,181",$379.00
15,"Panasonic ErgoFit In-Ear Earbud Headphones RP-HJE120K Dynamic Crystal-Clear Sound, Ergonomic Comfort-Fit, 9mm, Black",https://www.amazon.com/Panasonic-Headphones-RP-HJE120-K-Ergonomic-Comfort-Fit/dp/B003EM8008/ref=sr_1_16?dchild=1&keywords=Headphones&qid=1594136411&sr=8-16,4.2 out of 5 stars,"74,032",$9.20
16,"Betron BS10 Noise Isolating Earphones, in Ear Headphones with Microphone and Volume Control, Powerful Bass Sound Includes 3 Different Sized Pairs of Ergonomic Earbuds and Carry Bag, Black",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08095572RBKNHKIHCCL3&url=%2FBetron-Earphones-Headphones-Ergonomic-Microphone%2Fdp%2FB01MA1MJ6H%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1594136411%26sr%3D8-17-spons%26psc%3D1&qualifier=1594136411&id=8086478799120383&widgetName=sp_mtf,4.3 out of 5 stars,"6,091",$16.79
17,TOZO T10 Bluetooth 5.0 Wireless Earbuds with Wireless Charging Case IPX8 Waterproof TWS Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass for Sport Black,https://www.amazon.com/TOZO-Bluetooth-Wireless-Headphones-Waterproof/dp/B07J2Z5DBM/ref=sr_1_18?dchild=1&keywords=Headphones&qid=1594136411&sr=8-18,4.3 out of 5 stars,"41,542",$39.99
18,(2 Pack) Aux Headphones/Earbuds 3.5mm Wired Headphones Noise Isolating with Built-in Microphone & Volume Control Compatible with iPhone 6 SE 5S 4 iPod iPad Samsung/Android MP3,https://www.amazon.com/Headphones-Earbuds-Isolating-Microphone-Compatible/dp/B084MCQHWC/ref=sr_1_19?dchild=1&keywords=Headphones&qid=1594136411&sr=8-19,3.9 out of 5 stars,804,$11.99
19,"Vogek On Ear Headphones with Mic, Lightweight Portable Fold-Flat Stereo Bass Headphones with 1.5M Tangle Free Cord and Microphone-Black",https://www.amazon.com/Headphones-Lightweight-Portable-Fold-Flat-Microphone-Black/dp/B07MCCJ6VY/ref=sr_1_20?dchild=1&keywords=Headphones&qid=1594136411&sr=8-20,4.5 out of 5 stars,"6,523",$12.99
20,"Audio-Technica ATH-M20x Professional Studio Monitor Headphones, Black",https://www.amazon.com/Audio-Technica-ATH-M20x-Professional-Monitor-Headphones/dp/B00HVLUR18/ref=sr_1_21?dchild=1&keywords=Headphones&qid=1594136411&sr=8-21,4.5 out of 5 stars,"5,510",$49.00
